_dbt_source_relation,appuiscommunssupp__src_name,appuiscommunssupp__src_id,appuiscommunssupp__Id,geometry,osmpowersupports__utility,osmpowersupports__nature,appuiscommunssupp__TypePhysique,appuiscommunssupp__Nature,appuiscommunssupp__Gestionnaire,appuiscommunssupp__Materiau,appuiscommunssupp__HauteurAppui,appuiscommunssupp__CodeExterne,osmpowersupports__line_attachment,osmpowersupports__line_management,osmpowersupports__transition,appuiscommunssupp__commune_insee_id,fdrcommune__insee_id,appuiscommunssupp__fdrcommune__insee_id,appuiscommunssupp__commune_nom,appuiscommunssupp__fdrcommune__nom
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8752711320,556ce9a4-7224-5b62-9c02-8b04a1a8a8dc,POINT (0.3447134 47.4466881000655),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,pin,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8753035318,e13d3e94-27b7-56c1-97f2-333a11ee8a39,POINT (0.3437067 47.4462732000656),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8752697628,d22f1219-7050-501d-b799-167184deefb9,POINT (0.3452782 47.4469194000655),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8752713422,7c2fe172-fa50-5ff2-945a-be15bbbcbffc,POINT (0.3449605 47.4478324000653),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,pin,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8752713124,67897ec1-a1d4-5749-99c3-5f9571c2ec3c,POINT (0.3464342 47.4473183000654),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8752719925,d7457033-32f4-5dfd-8b03-5e07edd97b9c,POINT (0.3479711 47.4474344000654),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,pin,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8752711727,24551e63-8ae4-5d7d-95d2-2ade70c6a089,POINT (0.3492693 47.4474906000654),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,pin,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746807817,84c26ebb-569a-5e8b-b9c0-a1da7eb92ba8,POINT (0.3505775 47.4475342000654),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746919417,e0250029-c8cd-5fac-80bc-5fb4bedcbaf5,POINT (0.3504852 47.4474465000654),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,suspension,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746796917,cee41c07-deea-5f19-a22b-a613dc4464d4,POINT (0.351076 47.4476079000654),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746863518,900d2d3a-b6bb-566a-a8eb-887d84ae84fc,POINT (0.3518094 47.4475277000654),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,suspension,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746848918,66d03e29-8ab3-5053-8e77-7ecc96d37e26,POINT (0.3518424 47.4472698000654),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746863517,d3e7dc16-c03a-5207-afff-b8f27f1edb88,POINT (0.3522781 47.4478247000653),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8752702917,ccf2b1ab-d04a-566e-a206-1934e309cd1f,POINT (0.3527304 47.4460644000657),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,suspension,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8752706117,51028375-7a75-5d15-a5a6-433acaa4b770,POINT (0.3536689 47.444793500066),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,suspension,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746725417,37eb6cbe-9f0a-5fa3-b0a3-8bb152d817dc,POINT (0.352223 47.4507329000647),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,suspension,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746727117,90db96bb-c497-530c-b908-81709cfb7abf,POINT (0.3521337 47.4502575000648),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,suspension,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746728117,00ebb413-6cfc-56c5-9025-7a5fa0ee577f,POINT (0.3520534 47.4499863000648),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746790217,235af720-cf1a-5c0b-b150-365a7cd7a9af,POINT (0.3511629 47.4493785000649),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,pin,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746779319,7bbe5b39-655c-5646-8141-60348d06f2fe,POINT (0.3510606 47.4480496000653),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746404019,831f1812-4dd2-5d70-b22b-34f4dc2d9f4f,POINT (0.3512039 47.4481417000652),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
"""datastore"".""appuiscommuns"".""osmgeodatamine_powsupp__appuiscommuns_supportaerien""",osmgeodatamine_powersupports_extract,node/8746791317,15219f35-ab88-523e-908c-b0418deb3f40,POINT (0.3512 47.4484818000651),power,pole,APPUI,POTEAU BETON ,Enedis,beton,,,anchor,,,37081,37081,37081,Cléré-les-Pins,Cléré-les-Pins
